Id,Enunciado,Tópico,Contexto,English
1016,"Área do Triângulo
Considere um triângulo de lados a, b, c. O semiperímetro (metade do perímetro) desse triângulo é definido por:
\[s = \frac{a + b + c}{2}\]
A área A do triângulo pode ser calculada pela seguinte fórmula:
\[A = \sqrt{s(s-a)(s-b)(s-c)}\]
Escreva um programa que leia os comprimentos dos lados de um triângulo. Como saída, determine a sua área.
",Variáveis e Estrutura Sequencial,Matemático,"
Triangle Area
Consider a triangle of sides a, b, c. The semiperimeter (half the perimeter)
This triangle is defined by:
\ [s = \ weak {a + b + c} {2} \]
The area A of the triangle can be calculated by the following formula:
\ [A = \ sqrt {s (s) (s) (sc)} \]
Write a program that reads the lengths of the sides of a triangle. How
output, determine your area.
""
"" "
1017,"Como o GoogleMaps calcula a distância entre dois pontos na superfície da Terra?
A superfície da Terra é curva. Por isso, o teorema de Pitágoras não pode ser utilizado para calcular a distância entre dois pontos sobre a superfície da Terra.
Seja (ti, gi) a latitude e longitude de um ponto Pi na superfície da Terra. A distância d entre dois pontos P1 e P2, em km, é dada por:
\[d=R.\arccos(sen(t_1).sen(t_2)+\cos(t_1).\cos(t_2).\cos(g_1-g_2))\]
onde R = 6371,01 km é o raio médio da Terra.
Escreva um programa que leia as seguintes informações, medidas em graus:

A latitude t1 de um ponto P1.
A longitude g1 de um ponto P1.
A latitude t2 de um ponto P2.
A longitude g2 de um ponto P2.

Como saída, determine a distância d, em quilômetros, com duas casas decimais de precisão.
",Variáveis e Estrutura Sequencial,Matemático,"
How does GoogleMaps calculate the distance between two points on the earth's surface?
The surface of the earth is curved. Hence the Pythagorean theorem cannot be
used to calculate the distance between two points on the surface of the
Earth.
Let (ti, gi) be the latitude and longitude of a point Pi on the earth's surface. THE
The distance d between two points P1 and P2, in km, is given by:
\ [d = R. \ arccos (sen (t_1) .sen (t_2) + \ cos (t_1). \ cos (t_2). \ cos (g_1-g_2)) \]
where R = 6371.01 km is the average radius of the earth.
Write a program that reads the following information, measured in degrees:
The latitude t1 of a point P1.
The longitude g1 of a point P1.
The latitude t2 of a point P2.
The longitude g2 of a point P2.
As output, determine the distance d, in kilometers, to two decimal places of
precision.
""
"" "
842,"Soma dos dígitos de um número inteiro
Escreva um programa que leia um número inteiro de quatro dígitos.
Como saída, determine a soma dos dígitos do número.
Exemplo: se o usuário digitar 3141, o programa deve exibir 9, que corresponde a 3 + 1 + 4 + 1.
",Variáveis e Estrutura Sequencial,Matemático,"
Sum of digits of an integer
Write a program that reads a four-digit integer.
As output, determine the sum of the digits of the number.
Example: If you enter 3141, the program should display 9, which corresponds to
3 + 1 + 4 + 1.
""
"" "
1002,"Área do círculo
Uma empresa de agronegócio precisa usar um avião para aplicar fertilizante sobre uma fazenda cuja área se assemelha à de um círculo.
Escreva um programa que leia:

O raio aproximado dessa fazenda (em metros).
O custo de aplicação do fertilizante por metro quadrado.

Como saída, retorne o custo total do serviço para toda a fazenda.
A área do círculo de raio \(a\) é dada pela fórmula:
\[\pi \cdot a^{2}\]
",Variáveis e Estrutura Sequencial,Matemático,"
Circle Area
An agribusiness company needs to use a plane to apply fertilizer on
a farm whose area resembles that of a circle.
Write a program that reads:
The approximate radius of this farm (in meters).
The cost of applying fertilizer per square meter.
As an output, return the total cost of service for the entire farm.
The area of ​​the radius circle \ (a \) is given by the formula:
\ [\ pi \ cdot a ^ {2} \]
""
"" "
1018,"Área do triângulo retângulo
Um agricultor precisa aplicar um fungicida sobre uma fazenda. A área do terreno se assemelha à de um triângulo retângulo.
Escreva um programa que leia as seguintes entradas:

O comprimento do primeiro cateto (em metros)
O comprimento do segundo cateto (em metros)
O custo de aplicação do fungicida por m²

Como saída, determine o custo total do serviço de aplicação do fungicida sobre toda a área da fazenda.
A área de um triângulo retângulo de catetos a e b é dada por:
\[\frac{a \cdot b}{2}\]
",Variáveis e Estrutura Sequencial,Matemático,"
Rectangle Triangle Area
A farmer needs to apply a fungicide on a farm. The land area
resembles that of a right triangle.
Write a program that reads the following entries:
The length of the first collet (in meters)
The length of the second pallet (in meters)
The cost of fungicide application per m²
As a way out, determine the total cost of the fungicide application service on
the whole farm area.
The area of ​​a rectangle triangle of collars a and b is given by:
\ [\ frac {a \ cdot b} {2} \]
""
"" "
1019,"Área do retângulo
Um empresário do ramo de agronegócio precisa aplicar um fungicida sobre uma fazenda cuja área se assemelha à de um retângulo.
Escreva um programa que leia:

 A largura da fazenda (em metros).
O comprimento da fazenda (em metros).
O custo de aplicação do fungicida por metro quadrado.

Como saída, retorne o custo total do serviço de aplicação para toda a fazenda.
A área de um retângulo de lados \(a\) e \(b\) é dada pela fórmula:
\[a \cdot b\]
",Variáveis e Estrutura Sequencial,Matemático,"
Rectangle Area
An agribusiness entrepreneur needs to apply a fungicide on a
farm whose area resembles that of a rectangle.
Write a program that reads:
The width of the farm (in meters).
The length of the farm (in meters).
The cost of applying the fungicide per square meter.
As an output, return the total cost of application service for the entire farm.
The area of ​​a sides rectangle \ (a \) and \ (b \) is given by the formula:
\ [a \ cdot b \]
""
"" "
1020,"Uma empresa de agronegócio precisa usar um avião fertilizar o solo de uma fazenda cuja área se assemelha à de um trapézio.
Escreva um programa que leia:

O comprimento da base maior.
O comprimento da base menor.
A altura do trapézio (em metros).
O custo de aplicação do fertilizante por metro quadrado.

Como saída, retorne o custo total do serviço para toda a fazenda.
 
A área de um trapézio regular de base maior B, base menor b e altura h é dada pela fórmula:
\[\frac {h\cdot \left ( B+b \right )}{2}\]
",Variáveis e Estrutura Sequencial,Comercial,"
An agribusiness company needs to use an airplane to fertilize the soil of a
farm whose area resembles that of a trapeze.
Write a program that reads:
The length of the base longer.
The length of the base shorter.
The height of the trapeze (in meters).
The cost of applying fertilizer per square meter.
As an output, return the total cost of service for the entire farm.
The area of ​​a major base regular trapezius B, smaller base b and height h is given
by the formula:
\ [\ frac {h \ cdot \ left (B + b \ right)} {2} \]
""
"" "
1021,"Área do hexágono
Uma empresa de agronegócio precisa usar um avião fertilizar o solo de uma fazenda cuja área se assemelha à de um hexágono regular. 
Escreva um programa que leia:

 O comprimento da aresta dessa fazenda (em metros).
 O custo de aplicação do fertilizante por metro quadrado.

Como saída, imprima o custo total do serviço para toda a fazenda.
A área de um hexágono regular de lado \(a\) é dada pela fórmula:
\[\frac{ 3 \cdot \sqrt{3} \cdot a^{2}}{2}\]
",Variáveis e Estrutura Sequencial,Matemático,"
Hexagon Area
An agribusiness company needs to use an airplane to fertilize the soil of a
farm whose area resembles that of a regular hexagon.
Write a program that reads:
The length of the edge of this farm (in meters).
The cost of applying fertilizer per square meter.
As output, print the total cost of service for the entire farm.
The area of ​​a side regular hexagon \ (a \) is given by the formula:
\ [\ frac {3 \ cdot \ sqrt {3} \ cdot a ^ {2}} {2} \]
""
"" "
1022,"Área do octógono regular
Uma empresa de agronegócio precisa usar um avião fertilizar o solo de uma fazenda cuja área se assemelha à de um octógono regular.
Escreva um programa que leia:

O comprimento da aresta dessa fazenda (em metros).
 O custo de aplicação do fertilizante por metro quadrado.

Como saída, retorne o custo total do serviço para toda a fazenda.
A área de um octógono regular de lado \(a\) é dada pela fórmula:
 \[2 \cdot a^{2}\left (\sqrt{2}+1 \right )\]
",Variáveis e Estrutura Sequencial,Matemático,"
Regular Octagon Area
An agribusiness company needs to use an airplane to fertilize the soil of a
farm whose area resembles that of a regular octagon.
Write a program that reads:
The length of the edge of this farm (in meters).
The cost of applying fertilizer per square meter.
As an output, return the total cost of service for the entire farm.
The area of ​​a regular side octagon \ (a \) is given by the formula:
\ [2 \ cdot a ^ {2} \ left (\ sqrt {2} +1 \ right) \]
""
"" "
1023,"Perímetro do círculo
Um fazendeiro deseja cercar sua propriedade, cujo formato se assemelha ao de uma circunferência.
Escreva um programa que leia:

 O raio aproximado dessa fazenda (em metros).
 O custo de construção da cerca por metro.

Como saída, retornar o custo total do serviço para envolver toda a fazenda.
O perímetro de uma circunferência de raio \(a\) é dado pela fórmula:
\[2\pi a\]
",Variáveis e Estrutura Sequencial,Matemático,"
Circle perimeter
A farmer wants to surround his property, the shape of which resembles that of a
circumference.
Write a program that reads:
The approximate radius of this farm (in meters).
The cost of building the fence per meter.
As a way out, return the total cost of service to involve the entire farm.
The perimeter of a radius circumference \ (a \) is given by the formula:
\ [2 \ pi a \]
""
"" "
1024,"Perímetro do triângulo
Um agricultor deseja cercar sua roça, cujo formato se assemelha ao de um triângulo.
Escreva um programa que leia:

 O comprimento do lado \(a\) do terreno (em metros).
O comprimento do lado \(b\) do terreno (em metros).
O comprimento do lado \(c\) do terreno (em metros).
O custo de construção da cerca por metro.

 Como saída, retorne o custo total do serviço para envolver toda a roça.
O perímetro de um triângulo de lados \(a\), \(b\) e \(c\) é dado pela fórmula:
\[a+b+c\]
",Variáveis e Estrutura Sequencial,Matemático,"
Triangle perimeter
A farmer wants to surround his garden, whose shape resembles that of a
triangle.
Write a program that reads:
The length of the \ (a \) side of the ground (in meters).
The length of the \ (b \) side of the ground (in meters).
The length of the \ (c \) side of the ground (in meters).
The cost of building the fence per meter.
As a way out, return the total cost of service to involve the entire field.
The perimeter of a triangle of sides \ (a \), \ (b \) and \ (c \) is given by the formula:
\ [a + b + c \]
""
"" "
1025,"Perímetro do paralelogramo
Um fazendeiro deseja cercar sua propriedade, cujo formato se assemelha ao de um paralelogramo. 
Escreva um programa que leia:

 A largura da fazenda (em metros).
O comprimento da fazenda (em metros).
O custo de construção da cerca por metro.

Como saída, retorne o custo total do serviço para envolver toda a fazenda.
O perímetro de um paralelogramo de lado maior \(A\) e lado menor \(a\) é dado pela fórmula:
\[2\cdot\left (A+a \right )\]
",Variáveis e Estrutura Sequencial,Matemático,"
Parallelogram Perimeter
A farmer wants to surround his property, the shape of which resembles that of a
parallelogram.
Write a program that reads:
The width of the farm (in meters).
The length of the farm (in meters).
The cost of building the fence per meter.
As an output, return the total cost of service to involve the entire farm.
The perimeter of a major side parallelogram \ (A \) and minor side \ (a \) is given
by the formula:
\ [2 \ cdot \ left (A + a \ right) \]
""
"" "
1026,"Perímetro do hexágo
Um camponês deseja cercar sua roça, cujo formato se assemelha ao de um hexágono regular.
Escreva um programa que leia:

O comprimento da aresta do terreno (em metros).
 O custo de construção da cerca por metro.

Como saída, retorne o custo total do serviço para envolver toda a roça.
O perímetro de um hexágono regular de lado \(a\) é dada pela fórmula:
\[6\cdot a\]
",Variáveis e Estrutura Sequencial,Matemático,"
Hexagon Perimeter
A peasant wants to surround his garden, whose shape resembles that of a hexagon
regular.
Write a program that reads:
The length of the ground edge (in meters).
The cost of building the fence per meter.
As a way out, return the total cost of service to involve the entire field.
The perimeter of a side regular hex \ (a \) is given by the formula:
\ [6 \ cdot a \]
""
"" "
1027,"Conta de energia
A conta de energia de Meroveu custa R$ 0,43 a cada kWh consumido, mais um valor fixo de R$10,00 como taxa de iluminação pública. Sobre esse total, é cobrado 25% de ICMS (imposto sobre circulação de mercadorias e serviços).
Escreva um programa que leia:

 Quantos kWh Meroveu consumiu em um mês

 Como saída, determine o valor total a ser pago por Meroveu. O valor de saída deve ser arredondado para duas casas decimais.  
",Variáveis e Estrutura Sequencial,Consumo,"
Energy bill
Meroveu's energy bill costs $ 0.43 per kWh consumed, plus a value
R $ 10.00 as a public lighting fee. Of this total, 25% is charged
ICMS (tax on the movement of goods and services).
Write a program that reads:
How many kWh Meroveu has consumed in a month
As a way out, determine the total amount to be paid by Meroveu. The output value
should be rounded to two decimal places.
""
"" "
1028,"Conta de água
A conta de água de Cleosméria custa R$ 0,37 por \(m^{3}\) consumido, mais um valor fixo de R$15,00 como taxa de tratamento de esgoto. Sobre esse total, incide ainda 35% de ICMS (imposto sobre circulação de mercadorias e serviços). 
Escreva um programa que leia:

 O volume de água consumida durante certo mês.

 Como saída, determine o valor a ser pago nesse mês. O valor de saída deve ser arredondado para duas casas decimais. 
",Variáveis e Estrutura Sequencial,Consumo,"
Water bill
Cleosmeria's water bill costs $ 0.37 per \ (m ^ {3} \) consumed, plus one
fixed amount of R $ 15,00 as sewage treatment fee. About this total,
also 35% of ICMS (tax on movement of goods and services).
Write a program that reads:
The volume of water consumed during a certain month.
As a way out, determine the amount to be paid this month. The output value must be
rounded to two decimal places.
""
"" "
1029,"Conta de telefone fixo
Desdêmona tem um plano de telefonia fixa que lhe custa R$ 0,28 por minuto consumido, mais um valor fixo de R$23,00 de assinatura. Sobre esse total, incide ainda 31% de ICMS (imposto sobre circulação de mercadorias e serviços). 
Escreva um programa que leia:

O consumo de chamadas (em minutos) durante certo mês.

Como saída, determine o valor a ser pago nesse mês. O valor de saída deve ser arredondado para duas casas decimais.  
",Variáveis e Estrutura Sequencial,Consumo,"
Landline Account
Desdemona has a landline plan that costs you $ 0.28 per minute
consumed, plus a fixed amount of $ 23.00 of subscription. This total
31% of ICMS (tax on the circulation of goods and services).
Write a program that reads:
The call consumption (in minutes) during a certain month.
As a way out, determine the amount to be paid this month. The output value must be
rounded to two decimal places.
""
"" "
1030,"Conta de celular.
Arquiteclínio tem um plano controle de celular que lhe custa R$45,00 por mês, mais R$ 0,97 por minuto excedente. Sobre esse total, incide ainda 42% de ICMS (imposto sobre circulação de mercadorias e serviços). 
 
Escreva um programa que leia:
       1. A quantidade de minutos excedentes consumidos durante certo mês.
 
Como saída, determine o valor a ser pago. O valor de saída deve ser arredondado para duas casas decimais.
",Variáveis e Estrutura Sequencial,Consumo,"
Mobile Account
Architeclinium has a cell phone control plan that costs you $ 45 per month,
plus $ 0.97 per minute over. Of this total, 42% of ICMS
(tax on the movement of goods and services).
Write a program that reads:
1. The amount of over minutes consumed during a given month.
As a way out, determine the amount to be paid. Output value must be rounded
to two decimal places.
""
"" "
1031,"Posto de gasolina
Soraiadite foi a um posto de gasolina abastecer seu carro e trocar o óleo do motor. O preço do litro da gasolina é R$2,86 e o serviço de troca de óleo foi R$50,00. Sobre esse total, incide ainda 34% de ICMS (imposto sobre circulação de mercadorias e serviços). 
Escreva um programa que leia:

 A quantidade de litros abastecidos.

Como saída, determine o valor total a ser pago. O valor de saída deve ser arredondado para duas casas decimais.
",Variáveis e Estrutura Sequencial,Comercial,"
Gas station
Soraiadite went to a gas station to refuel her car and change the oil from the
motor. The price of a liter of gasoline is $ 2.86 and the oil change service was
$ 50. Of this total, 34% of ICMS
goods and services).
Write a program that reads:
The amount of liters supplied.
As a way out, determine the total amount to be paid. The output value must be
rounded to two decimal places.
""
"" "
1032,"Correios
Ranavalona costuma comprar produtos em um site estrangeiro, o Alibaba. Suas encomendas são retidas pelos Correios para recolhimento de imposto de importação, que é de 81% sobre o valor da encomenda. Além do imposto, ela ainda tem que pagar uma taxa fixa R$12,00 pelo armazenamento na agência dos Correios. 
Escreva um programa que leia:

 O valor de uma encomenda.

 Como saída, determine o valor total a ser pago por Ranavalona pela encomenda mais as taxas. O valor de saída deve ser arredondado para duas casas decimais. 
",Variáveis e Estrutura Sequencial,Comercial,"
post offices
Ranavalona usually buys products from a foreign site, Alibaba. Your
orders are withheld by the Post Office for payment of
which is 81% of the value of the order. In addition to the tax, she still
have to pay a flat fee $ 12.00 for storage at the post office.
Write a program that reads:
The value of an order.
As an output, determine the total amount to be paid by Ranavalona for the order.
plus the fees. The output value must be rounded to two decimal places.
""
"" "
1033,"Frete
Fredegunda deseja contratar o serviço de frete aéreo para despachar as mercadorias vendidas por sua empresa.
O custo do frete é calculado da seguinte maneira: cada quilo de mercadoria custa R$43,21, mais uma taxa fixa de R$25,00 cobrada pelo aeroporto. Sobre esse total, incide ainda 62% de ICMS (imposto sobre circulação de mercadorias e serviços). 
Escreva um programa que leia:

 O peso da mercadoria a ser transportada (em kg).

Como saída, determine o valor total a ser pago.
",Variáveis e Estrutura Sequencial,Comercial,"
Freight
Fredegunda wishes to hire the air freight service to dispatch the
goods sold by your company.
Freight cost is calculated as follows: each pound of merchandise costs
R $ 43,21, plus a flat fee of R $ 25,00 charged by the airport. About this total,
also 62% of ICMS (tax on the circulation of goods and services).
Write a program that reads:
The weight of the goods to be transported (in kg).
As a way out, determine the total amount to be paid.
""
"" "
1034,"Câmbio do dólar
Chilperico trabalha em uma agência de câmbio. Quando um cliente deseja trocar reais por dólar, este deve pagar uma taxa fixa de R$12,00 pelo serviço, e o restante do dinheiro é convertido em dólares. Sabe-se que o dólar está cotado a R$3,55. 
Escreva um programa que leia:

 A quantia (em R$) que o cliente entrega a Chilperico.

 Como saída, determine a quantia (em dólares) que Chilperico deve devolver ao cliente.
",Variáveis e Estrutura Sequencial,Comercial,"
Dollar exchange rate
Chilperico works at an exchange bureau. When a customer wants to trade
dollars per dollar, it must pay a flat fee of R $ 12.00 for the service, and the
remaining money is converted to dollars. It is known that the dollar is quoted at
$ 3.55.
Write a program that reads:
The amount (in R $) that the customer delivers to Chilperico.
As a way out, determine the amount (in dollars) that Chilperico should return to the
client.
""
"" "
1035,"Câmbio de euro
Clodoberto trabalha em uma agência de câmbio. Quando um cliente deseja trocar reais por euros, este deve pagar uma taxa fixa de R$15,00 pelo serviço, e o restante do dinheiro é convertido em euros. Sabe-se que o euro está cotado a R$3,96. 
Escreva um programa que leia:

 A quantia (em R$) que o cliente entrega a Clodoberto.

 Como saída, determine a quantia (em euros) que Clodoberto deve devolver ao cliente.
",Variáveis e Estrutura Sequencial,Comercial,"
Euro exchange rate
Clodoberto works at an exchange bureau. When a customer wants to trade
per euro, the latter must pay a flat fee of R $ 15.00 for the service, and the
remaining money is converted to euros. It is known that the euro is quoted at
R $ 3.96.
Write a program that reads:
The amount (in R $) that the customer delivers to Clodoberto.
As a way out, determine the amount (in euros) that Clodoberto must return to the
client.
""
"" "
1036,"Câmbio de libra esterlina
Haldetrude trabalha em uma agência de câmbio. Quando um cliente deseja trocar reais por libras esterlinas (Reino Unido), este deve pagar uma taxa fixa de R$21,00 pelo serviço, e o restante do dinheiro é convertido em libras esterlinas. Sabe-se que a libra esterlina está cotada a R$5,19. 
Escreva um programa que leia:

 A quantia (em R$) que o cliente entrega a Haldetrude.

 Como saída, determine a quantia (em libras esterlinas) que Haldetrude deve devolver ao cliente.
",Variáveis e Estrutura Sequencial,Comercial,"
British Pound Exchange
Haldetrude works at an exchange bureau. When a customer wants to trade
pounds sterling (United Kingdom), the latter must pay a fixed fee of
$ 21 for the service, and the rest of the money is converted to pounds
sterling. The pound sterling is known to be priced at $ 5.19.
Write a program that reads:
The amount (in R $) the customer delivers to Haldetrude.
As a way out, determine the amount (in pounds sterling) that Haldetrude should
return to customer.
""
"" "
1037,"Câmbio de peso argentino
Brunilda trabalha em uma agência de câmbio. Quando um cliente deseja trocar reais por pesos argentinos, este deve pagar uma taxa fixa de R$9,00 pelo serviço, e o restante do dinheiro é convertido em pesos argentinos. Sabe-se que o peso argentino está cotado a R$0,26. 
Escreva um programa que leia:

 A quantia (em R$) que o cliente entrega a Brunilda.

Como saída, determine a quantia (em pesos argentinos) que Brunilda deve devolver ao cliente.
",Variáveis e Estrutura Sequencial,Comercial,"
Argentine peso exchange
Brunilda works at an exchange bureau. When a customer wants to trade
Argentine pesos, the latter must pay a fixed fee of R $ 9,00 for the
service, and the rest of the money is converted to Argentine pesos. It is known that
The Argentine peso is quoted at R $ 0,26.
Write a program that reads:
The amount (in R $) that the customer delivers to Brunilda.
As a way out, determine the amount (in Argentine pesos) that Brunilda should return
to the client.
""
"" "
1038,"Câmbio de iene
Vulfegunda trabalha em uma agência de câmbio. Quando um cliente deseja trocar reais por ienes, este deve pagar uma taxa fixa de R$8,50 pelo serviço, e o restante do dinheiro é convertido em ienes. Sabe-se que o iene está cotado a R$0,03. 
Escreva um programa que leia:

 A quantia (em R$) que o cliente entrega a Vulfegunda.

 Como saída, determine a quantia (em ienes) que Vulfegunda deve devolver ao cliente.
",Variáveis e Estrutura Sequencial,Comercial,"
Yen exchange rate
Vulfegunda works at an exchange bureau. When a customer wants to trade
yen, the latter must pay a flat fee of $ 8.50 for the service, and the
remaining money is converted to yen. The yen is known to be quoted at
$ 0.03.
Write a program that reads:
The amount (in R $) that the customer delivers to Vulfegunda.
As a way out, determine the amount (in yen) that Vulfegunda should return to
client.
""
"" "
602,"Par ou ímpar?
 
Elabore um programa que leia um número inteiro. Se ele for par, então imprima a mensagem ""par"". Caso contrário, imprima ""impar"".
 
",Estrutura condicional composta,Matemático,"
Even or odd?
Design a program that reads an integer. If it is even then print the
"""" pair ""message. Otherwise, print ""odd"".
""
"" "
